text,intent,split
what expression would i use to say i love you if i were an italian,translate,train
"can you tell me how to say 'i do not speak much spanish', in spanish",translate,train
"what is the equivalent of, 'life is good' in french",translate,train
"tell me how to say, 'it is a beautiful morning' in italian",translate,train
"if i were mongolian, how would i say that i am a tourist",translate,train
how do i say 'hotel' in finnish,translate,train
"i need you to translate the sentence, 'we will be there soon' into portuguese",translate,train
please tell me how to ask for a taxi in french,translate,train
"can you tell me how i would say, 'more bread please' in french",translate,train
what is the correct way to say 'i am a visitor' in french,translate,train
"how would i say, 'i don't know the answer' in spanish",translate,train
i would like to know the proper way to greet an adult in portuguese,translate,train
what words would i use to tell someone i am lost if i were japanese,translate,train
how would i say thank you if i were russian,translate,train
can you tell me how i would normally say thank you as a french person,translate,train
i would like to know how to say hello in french,translate,train
if i were english how would i say subway,translate,train
i would i say subway if i were english,translate,train
how do you say hi in french,translate,train
in england how do they say subway,translate,train
translate hello in french,translate,train
how is hello said in french,translate,train
what do you call a subway if you were english,translate,train
how would i say if i were english subway,translate,train
how should i say hello in french,translate,train
how could i say twin in chinese,translate,train
how can i say not now in spanish,translate,train
what do spanish people say for the word cow,translate,train
translate hello to english,translate,train
how do you say goodbye in spanish,translate,train
how would i say love in french,translate,train
could you translate atm machine into english,translate,train
please translate grocery into french for me,translate,train
how do germans say goodnight,translate,train
tell me how the russians say notebook,translate,train
how do vietnameses people say hello,translate,train
how do i say thank you in japanese,translate,train
what is latin for i love you,translate,train
how can i thank somebody in italian,translate,train
how do i say you're welcome in chinese,translate,train
translate hello english to french,translate,train
what is hello in french,translate,train
what phrase means goodbye in hawaii,translate,train
what spanish word means hello,translate,train
translate hello to french,translate,train
translate english to french hello,translate,train
what is the word for hello spanish,translate,train
how do they say goodbye in hawaii,translate,train
what's local slang for goodbye in hawaii,translate,train
how do you say hello in french,translate,train
tell me how to say hello in spanish,translate,train
what do i say for goodbye in hawaii,translate,train
translate hello into french for me,translate,train
how do i say hello in french,translate,train
translate for me hello into french,translate,train
how would they say say goodbye in hawaii,translate,train
what is spanish for hello,translate,train
how would i say hello in french,translate,train
how can i say i love you in italy,translate,train
what is spanish for good morning,translate,train
how do you say it's snowing in german,translate,train
how would you say can i borrow five dollars in portuguese,translate,train
do you know how to say where is the restroom in french,translate,train
how would i say pleased to meet you if i were japanese,translate,train
can you translate hello into swedish for me,translate,train
can you translate i love you into french for me,translate,train
can you translate where's the bar into irish for me,translate,train
how would i say goodbye if i were norwegian,translate,train
how would i say i love you if i were french,translate,train
how would i say hello if i were swedish,translate,train
can you translate good bye into russian for me,translate,train
can you translate i have to go pee into korean for me,translate,train
how would i say i'm not guilty if i were mexican,translate,train
how do you say thank you in spanish,translate,train
how does one say thank you in spanish,translate,train
how can i say thank you in spanish,translate,train
what is thank you in spanish,translate,train
what is the way to say thank you in spanish,translate,train
"how do they say ""who is your father"" in german",translate,train
"how do they say ""where's the bathroom"" in spanish",translate,train
"how do they say ""how's it going"" in swahili",translate,train
"how do they say ""i love you"" in japanese",translate,train
"how do they say ""what's up"" in chinese",translate,train
how do you say thank you in german,translate,train
how do you say please in arabic,translate,train
how do you say cat in spanish,translate,train
how do you say i'm hungry in french,translate,train
how do you say i need coffee in dutch,translate,train
how do they say yes in brazil,translate,train
can you translate cat into russian for me,translate,train
can you translate bowl into russian for me,translate,train
how do they say hello in france,translate,train
i wanna know a phrase in spanish,translate,train
can you translate bat into russian for me,translate,train
how do they say no in germany,translate,train
can you translate hi into spanish for me,translate,train
i wanna learn a phrase in russian,translate,train
how do they say hello in germany,translate,train
can you translate milk into spanish for me,translate,train
how do they say hello in brazil,translate,train
i need $20000 transferred from my savings to my checking,transfer,train
complete a transaction from savings to checking of $20000,transfer,train
transfer $20000 from my savings account to checking account,transfer,train
take $20000 from savings and put it in checking,transfer,train
put $20000 into my checking account from my savings account,transfer,train
send 100 dollars between bank of the west and bank of america acccounts,transfer,train
send 50 dollars between bank of america and chase accounts,transfer,train
send 2000 dollars between chase and rabobank accounts,transfer,train
send 1200 dollars between usaa and navy federal accounts,transfer,train
send 400 dollars between city bank and usaa accounts,transfer,train
take $40 and transfer it to account a from b,transfer,train
transfer $40 from account a to b,transfer,train
move $40 from account b to account a,transfer,train
put $40 from account a to b,transfer,train
take $40 from account a and transfer it to account b,transfer,train
i need to transfer from this account to that one,transfer,train
need to transfer from one account to my other one,transfer,train
i would like to transfer from one account to my second one,transfer,train
i need to transfer from one account to my second one,transfer,train
i have to transfer from one account to my other one,transfer,train
send fifty dollars from me to carrie,transfer,train
transfer sixty dollars to dad from my biggest accnt,transfer,train
send over a hundred dollars from huntington into saving,transfer,train
move 57 dollars from saving into mom,transfer,train
transfer two hundred dollars between my portfolio and my money market account,transfer,train
i need to transfer ten dollars from my bank of america account to my capital one account,transfer,train
go ahead and send ten dollars from bank of america to capital one,transfer,train
i must transfer ten dollars from my bank of america account to my capital one account,transfer,train
i got to transfer ten dollars from my bank of america account to my capital one account,transfer,train
i want you to send ten dollars from bank of america to capital one,transfer,train
i need you to send ten dollars from bank of america to capital one,transfer,train
i have to transfer ten dollars from my bank of america account to my capital one account,transfer,train
send ten dollars from bank of america to capital one,transfer,train
please send ten dollars from bank of america to capital one,transfer,train
make a transfer of $200 from my savings account to my checking account,transfer,train
please transfer $250 from checking to savings,transfer,train
transfer $500 from my checking to my savings,transfer,train
please transfer $100 from my checking to my savings account,transfer,train
transfer $500 from my money market savings account to my checking account,transfer,train
send money from one account to another,transfer,train
transfer 200 dollars from paypal to savings,transfer,train
transfer $10 from checking to savings,transfer,train
send $100 from paypal to my bank,transfer,train
please transfer 100 dollars between my amazon payments and savings accounts,transfer,train
i would like to make a transfer,transfer,train
i want to transfer funds between accounts,transfer,train
send over 50 dollars between my shared and not shared accounts,transfer,train
whats the quickest way to money from one account to another,transfer,train
what is the process to move money from one account to another,transfer,train
i need you to send 500 dollars from my high tier account to my regular checking account,transfer,train
can you transfer money from a to b,transfer,train
send my money between accounts,transfer,train
how can i send money from one account to another,transfer,train
i need to move money from one account to another,transfer,train
send $20 from debit to steve's account,transfer,train
send 20 dollars from savings to checking,transfer,train
please transfer my funds,transfer,train
please transfer $50 to my checking account from credit,transfer,train
go ahead and move $200 from amazon to my bank account,transfer,train
help me move my money,transfer,train
i need my money to be moved,transfer,train
help me move my money please,transfer,train
i need to move my money,transfer,train
move my money please,transfer,train
i would like to transfer $5 from savings to checking,transfer,train
transfer $5 from savings to checking,transfer,train
can you transfer $5 from savings to checking,transfer,train
send $5 from savings to checking,transfer,train
please transfer $5 from savings to checking,transfer,train
please switch $s checking to mortage,transfer,train
please transfer $s from saving to checking,transfer,train
could you transfer $x from saving to checking,transfer,train
help me transfer $x from credit to debit,transfer,train
please transfer $x from checking to saving,transfer,train
transfer money to another account,transfer,train
requesting money transfer between accounts,transfer,train
transfer money from this account to that account,transfer,train
can you transfer money from my account,transfer,train
money transfer request,transfer,train
send 100 dollars from checking to savings,transfer,train
transfer 100 dollars checking to savings,transfer,train
transfer 100 dollars between checking and savings,transfer,train
take 100 dollars from checking and send it to savings,transfer,train
move 100 dollars from checking to savings,transfer,train
can we wire some money over to the other account i have,transfer,train
time to move some cash from one account to another,transfer,train
i need to throw some money into that other account,transfer,train
let's send some money to another account,transfer,train
i want to initiate a transfer from one account to the other,transfer,train
transfer money from one place to another,transfer,train
move money from one account to another,transfer,train
transfer between two accounts,transfer,train
make a transfer between accounts,transfer,train
send money to another account,transfer,train
i need ten dollars sent from b of a to washington mutual,transfer,train
transfer fifty dollars between my chase and bank of america account,transfer,train
deposit ten bucks from my chase account to my ally account,transfer,train
put a hundred dollars in my ally account from bluebird,transfer,train
i want seventy bucks transferred from b of a to chase,transfer,train
can i initiate a one-time transfer from my savings account to my money market account,transfer,train
please set a 4 minute timer,timer,train
please set a timer for 6 minutes,timer,train
set a timer for 5 minutes,timer,train
i need a 7 minute timer,timer,train
i need to set the timer for two minutes,timer,train
can you set a timer for me for fifteen minutes starting now,timer,train
start the timer now and stop at thirty minutes,timer,train
i would like you to set the timer to go off in ten minutes,timer,train
please set a timer for 40 minutes,timer,train
wake me in an hour,timer,train
please set a timer for cookies,timer,train
i want a timer set,timer,train
remind me in (x) hours,timer,train
set timer for (x) minutes,timer,train
i gotta have a 10 minute timer,timer,train
please set a timer for me,timer,train
i need a 10 minute timer,timer,train
i wish to have a 10 minute timer,timer,train
i really need to set a timer,timer,train
set a new timer for ten seconds,timer,train
set a timer for me,timer,train
i want a 10 minute timer,timer,train
i gotta set a timer,timer,train
set a 10 minute timer,timer,train
set a brand new timer for eight seconds,timer,train
set a ten second timer,timer,train
i must set a timer,timer,train
set a timer for twelve seconds,timer,train
set a timer for fifteen seconds,timer,train
tell me when two minutes are up,timer,train
start a timer for two minutes,timer,train
set a timer for two minutes,timer,train
start counting down from two minutes,timer,train
can you set a timer for two minutes,timer,train
"""please set 5 minute timer",timer,train
can u please set the timer for 5 minutes,timer,train
set timer of 5 minutes,timer,train
"""can u set a timer for 5 minutes",timer,train
set a one hour timer,timer,train
please set a timer for 20 minutes,timer,train
set a five minute timer please,timer,train
set a timer for two hours,timer,train
can you set a two hour timer,timer,train
set the timer for me please,timer,train
you need to set the timer for me,timer,train
i need you to set timer for me,timer,train
please set the timer for me,timer,train
i would like a timer set,timer,train
can you set a timer,timer,train
i need you to set a time,timer,train
i need a timer set for 15 minutes,timer,train
start a countdown for 20 minutes,timer,train
set a timer for 15 minutes,timer,train
i'll need you to set a timer for 10 minutes,timer,train
let's get a timer set for 5 minutes,timer,train
set a timer for 35 minutes,timer,train
